Test PPN Nodes MinMBps MaxMBps AvgMBps AggGBps
scrmfs 48 1 260.58 261.49 261.27 12.246806640625
scrmfs 49 1 252.91 441.93 257.45 12.3192578125
scrmfs 50 1 245.27 388.94 251.48 12.27939453125
scrmfs 51 1 235.77 307.08 240.43 11.974423828125
scrmfs 52 1 225.34 226.54 226.27 11.490322265625
scrmfs 53 1 219.08 441.80 223.91 11.58892578125
scrmfs 54 1 213.15 385.47 219.99 11.6012109375
scrmfs 55 1 205.27 284.19 209.99 11.27875
scrmfs 56 1 196.31 197.12 196.81 10.763251953125
scrmfs 58 1 187.51 383.07 194.67 11.0262890625
scrmfs 59 1 181.20 265.54 185.95 10.713837890625
scrmfs 60 1 174.10 174.80 174.48 10.223466796875
scrmfs 61 1 170.73 442.05 175.60 10.460498046875
scrmfs 62 1 167.08 381.20 174.56 10.56935546875
scrmfs 63 1 162.25 249.66 166.79 10.26126953125
scrmfs 64 1 156.10 156.88 156.56 9.784970703125
memcpy_1 1 1 435.11 435.11 435.11 0.424912109375
memcpy_1 2 1 434.98 435.11 435.04 0.849697265625
memcpy_1 3 1 435.01 435.07 435.05 1.274560546875
memcpy_1 4 1 434.97 435.09 435.04 1.69935546875
memcpy_1 5 1 435.01 435.08 435.07 2.124345703125
memcpy_1 6 1 435.01 435.10 435.07 2.54921875
memcpy_1 7 1 434.89 434.98 434.94 2.97322265625
memcpy_1 8 1 434.79 435.08 434.94 3.397998046875
memcpy_1 9 1 434.76 434.93 434.91 3.82248046875
memcpy_1 10 1 434.76 435.01 434.96 4.247646484375
memcpy_1 11 1 434.76 435.02 434.95 4.6723046875
memcpy_1 12 1 434.70 434.95 434.87 5.09615234375
memcpy_1 13 1 434.69 434.92 434.83 5.52033203125
memcpy_1 14 1 434.66 434.90 434.79 5.944453125
memcpy_1 15 1 434.66 434.92 434.80 6.369169921875
memcpy_1 16 1 434.62 434.88 434.75 6.792939453125
memcpy_1 17 1 402.20 434.42 404.44 6.714375
memcpy_1 18 1 401.97 402.62 402.40 7.073359375
memcpy_1 19 1 402.00 434.40 404.05 7.497001953125
memcpy_1 20 1 402.13 402.58 402.38 7.85892578125
memcpy_1 21 1 402.02 434.37 403.86 8.28232421875
memcpy_1 22 1 401.94 402.47 402.23 8.641669921875
memcpy_1 23 1 401.83 434.36 403.54 9.0638671875
memcpy_1 24 1 401.72 402.23 401.99 9.42173828125
memcpy_1 25 1 401.64 434.24 403.28 9.8456640625
memcpy_1 26 1 401.21 402.03 401.60 10.196787109375
memcpy_1 27 1 400.46 433.57 402.06 10.60111328125
memcpy_1 28 1 400.58 401.13 400.82 10.959833984375
memcpy_1 29 1 399.92 432.60 401.38 11.36720703125
memcpy_1 30 1 398.94 399.58 399.26 11.69712890625
memcpy_1 31 1 395.91 425.46 397.22 12.02525390625
memcpy_1 32 1 392.64 393.72 393.21 12.287841796875
memcpy_1 33 1 281.34 434.32 286.25 9.225009765625
memcpy_1 34 1 281.08 402.11 288.46 9.577890625
memcpy_1 35 1 281.32 341.88 286.78 9.8020703125
memcpy_1 36 1 281.33 281.70 281.62 9.900869140625
memcpy_1 37 1 281.31 434.22 285.75 10.32478515625
memcpy_1 38 1 281.30 401.70 287.93 10.684716796875
memcpy_1 39 1 281.27 341.70 286.21 10.900400390625
memcpy_1 40 1 281.27 281.68 281.59 10.999482421875
memcpy_1 41 1 281.15 432.81 285.18 11.41818359375
memcpy_1 42 1 280.74 399.07 286.73 11.760380859375
memcpy_1 43 1 279.97 340.22 284.56 11.949267578125
memcpy_1 44 1 279.48 280.07 279.94 12.028857421875
memcpy_1 45 1 277.09 415.40 280.70 12.33525390625
memcpy_1 46 1 272.52 392.71 278.29 12.50125
memcpy_1 47 1 266.84 330.63 271.50 12.4615625
memcpy_1 48 1 261.52 262.54 262.35 12.297509765625
memcpy_1 49 1 253.99 374.52 257.04 12.299990234375
memcpy_1 50 1 245.81 387.34 252.05 12.306923828125
memcpy_1 51 1 236.90 309.11 242.02 12.053544921875
memcpy_1 52 1 226.47 227.64 227.33 11.54435546875
memcpy_1 53 1 220.47 355.70 223.56 11.57076171875
memcpy_1 54 1 214.81 385.63 221.67 11.689580078125
memcpy_1 55 1 207.04 287.86 211.80 11.375712890625
memcpy_1 56 1 197.65 198.90 198.41 10.85056640625
memcpy_1 57 1 193.06 355.56 196.45 10.935283203125
memcpy_1 58 1 188.85 384.59 196.17 11.11125
memcpy_1 59 1 183.04 270.54 187.91 10.827080078125
memcpy_1 60 1 175.56 176.50 176.07 10.3165625
memcpy_1 61 1 172.12 359.32 175.69 10.465791015625
memcpy_1 62 1 168.74 383.51 176.24 10.670478515625
memcpy_1 63 1 164.03 254.83 168.83 10.387255859375
memcpy_1 64 1 157.77 158.65 158.13 9.883203125
