Test PPN Nodes MinMBps MaxMBps AvgMBps AggTBps
scrmfs 64 64 156.25 157.29 156.59 0.611666564941406
scrmfs 64 128 156.16 157.22 156.58 1.22327105522156
scrmfs 64 256 156.11 157.29 156.57 2.44634930610657
scrmfs 64 512 156.15 157.52 156.70 4.89684798240662
scrmfs 64 1024 156.07 157.63 156.73 9.79569458961487
scrmfs 64 2048 155.98 157.29 156.57 19.5708915233612
scrmfs 64 4096 156.00 157.37 156.58 39.1447100257874
scrmfs 64 8192 156.00 157.62 156.70 78.3520086765289
scrmfs 64 16384 155.73 160.81 156.69 156.692368011475
scrmfs 64 32768 155.77 161.98 156.49 312.971153554916
memcpy_1 1 1 435.57 435.57 435.57 0.00041539192199707
memcpy_1 1 2 435.57 435.57 435.57 0.000830793380737305
memcpy_1 1 4 435.57 435.57 435.57 0.00166155815124512
memcpy_1 1 8 435.57 435.57 435.57 0.00332311630249023
memcpy_1 1 16 435.57 435.58 435.57 0.00664633750915527
memcpy_1 1 32 435.57 435.58 435.57 0.0132926940917969
memcpy_1 1 64 435.57 435.58 435.57 0.0265853500366211
memcpy_1 1 128 435.57 435.58 435.57 0.053170690536499
memcpy_1 1 256 435.57 435.58 435.57 0.106341314315796
memcpy_1 1 512 435.57 435.58 435.57 0.21268235206604
memcpy_1 1 1024 435.57 435.58 435.57 0.425363569259644
memcpy_1 1 2048 435.56 435.58 435.57 0.850722732543945
memcpy_1 1 4096 435.46 435.58 435.56 1.70139916419983
memcpy_1 1 8192 435.45 435.58 435.51 3.40240725517273
memcpy_1 1 16384 435.45 435.58 435.50 6.80473010063171
memcpy_1 1 32768 435.41 435.58 435.48 13.6086672592163
memcpy_1 1 65536 435.41 435.90 435.63 27.2270412731171
memcpy_1 1 98304 435.41 435.90 435.64 40.8410213184357
memcpy_1 16 1 434.57 434.60 434.59 0.0066313362121582
memcpy_1 16 2 434.87 434.89 434.89 0.0132717418670654
memcpy_1 16 4 434.57 434.60 434.59 0.0265254592895508
memcpy_1 16 8 434.56 434.61 434.59 0.0530504703521728
memcpy_1 16 16 434.87 434.90 434.89 0.106173677444458
memcpy_1 16 32 434.86 434.90 434.89 0.212347106933594
memcpy_1 16 64 434.86 434.89 434.88 0.42469162940979
memcpy_1 16 128 434.85 434.90 434.88 0.849374532699585
memcpy_1 16 256 434.82 434.90 434.87 1.69871272087097
memcpy_1 16 512 434.79 434.90 434.85 3.39723839759827
memcpy_1 16 1024 434.72 434.90 434.81 6.79393345832825
memcpy_1 16 2048 434.72 435.66 435.18 13.5993290233612
memcpy_1 16 4096 434.72 435.66 435.27 27.2046277999878
memcpy_1 16 8192 434.71 435.66 435.17 54.3964911079407
memcpy_1 16 16384 434.71 435.67 435.21 108.802955369949
memcpy_1 16 32768 434.37 435.42 434.91 217.45370932579
memcpy_1 16 65536 434.47 435.71 435.21 435.209723472595
memcpy_1 16 98304 434.72 435.71 435.21 652.82154045105
memcpy_1 32 1 395.29 395.80 395.51 0.0120699024200439
memcpy_1 32 2 394.64 395.60 395.06 0.0241124057769775
memcpy_1 32 4 393.74 394.93 394.54 0.0481610298156738
memcpy_1 32 8 393.95 395.10 394.59 0.0963358306884766
memcpy_1 32 16 394.66 396.12 395.40 0.193066663742065
memcpy_1 32 32 393.88 396.15 395.43 0.386158266067505
memcpy_1 32 64 394.21 396.23 395.42 0.772299680709839
memcpy_1 32 128 394.05 396.32 395.42 1.54459391593933
memcpy_1 32 256 393.61 396.19 395.37 3.08884394645691
memcpy_1 32 512 393.36 396.31 395.36 6.17750670433044
memcpy_1 32 1024 393.18 397.06 395.74 12.3670095348358
memcpy_1 32 2048 393.34 397.05 395.85 24.7407722187042
memcpy_1 32 4096 392.92 397.26 395.79 49.4733111381531
memcpy_1 32 8192 392.69 397.37 395.74 98.9344267845154
memcpy_1 32 16384 392.74 397.23 395.71 197.85744307518
memcpy_1 32 32768 388.84 397.53 395.86 395.857874507904
memcpy_1 32 65536 383.47 397.12 395.71 791.417856283188
memcpy_1 32 98304 386.09 397.12 395.73 1187.18363837242
memcpy_1 64 1 157.70 157.98 157.81 0.00963205337524414
memcpy_1 64 2 157.69 158.23 157.88 0.0192727279663086
memcpy_1 64 4 157.60 158.71 157.97 0.0385659313201904
memcpy_1 64 8 157.54 158.52 157.91 0.0771042919158936
memcpy_1 64 16 157.48 158.33 157.78 0.154080696105957
memcpy_1 64 32 157.41 158.33 157.79 0.308179063796997
memcpy_1 64 64 157.48 158.51 157.93 0.616933431625366
memcpy_1 64 128 157.52 158.64 157.98 1.23423823356628
memcpy_1 64 256 157.46 158.89 158.09 2.47018469810486
memcpy_1 64 512 157.34 159.05 158.20 4.9437958240509
memcpy_1 64 1024 157.48 159.35 158.39 9.89962947845459
memcpy_1 64 2048 157.47 159.38 158.37 19.7960348701477
memcpy_1 64 4096 157.49 159.28 158.37 39.5918321895599
memcpy_1 64 8192 157.31 159.24 158.22 79.1097867202759
memcpy_1 64 16384 157.27 162.47 158.35 158.351936979294
memcpy_1 64 32768 157.19 163.07 158.29 316.587394800186
memcpy_1 64 65536 157.17 162.36 158.38 633.503122987747
memcpy_1 64 98304 157.34 162.89 158.33 949.996645107269
